FLAGS	en_US.utf8	zh_CN.utf8	location
	The selected labelset cannot be found.	找不到选定的标签集。	msg/ssc_errors.cat
	The selected labelset cannot be found. Would you like to create it?	找不到选定的标签集。你想创建它吗？	msg/ssc_errors.cat
	The selected labelset is in use and cannot be deleted.	所选标签集正在使用中，无法删除。	msg/ssc_errors.cat
	"The training table displays all data selected for the given time range. Data entries may be checked by cluster distances and labels can be changed when needed. To generate the model click on the ""Calculate Model"" button."	训练表显示给定时间范围内选择的所有数据。可以通过集群距离检查数据条目，并且可以在需要时更改标签。要生成模型，请单击“计算模型”按钮。	msg/ssc_wizards.cat
	There are no DPEs selected in this session	此进程中未选择任何 DPE	msg/ssc_wizards.cat
	There is a KPI in edit, please save or revert the current changes first!	编辑中有KPI，请先保存或恢复当前更改！	msg/ssc_errors.cat
	Threshold	临界点	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Time range	时间范围	"panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
msg/ssc_wizards.cat"
	Timed function	定时功能	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Timed function is not registered: 	定时功能未注册：	msg/ssc_errors.cat
	Timeframe	时间范围	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Timeframe End	终止时间	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Timeframe Start	起始时间	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Timeframe analysis	时间分析	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Timer	定时器	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	To	到	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	To use an online value, the given parameter has to be a valid DPE	要使用在线值，给定的参数必须是有效的 DPE	msg/ssc_wizards.cat
	Train Model	训练模型	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
	Training Data 	训练数据	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
	Training Random Forest Model ...	训练随机森林模型...	msg/ssc_wizards.cat
	Trigger	触发器	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Trigger parameter '$1' is in use.	触发器参数“$1”正在使用中。	msg/ssc_wizards.cat
	Turn off necessary	Turn off necessary	dplist/dptexts.txt
	Ui1 user@@	Ui1 user@@	dplist/dptexts.txt
	Ui10 user@@	Ui10 user@@	dplist/dptexts.txt
	Ui110 user@@	Ui110 user@@	dplist/dptexts.txt
	Ui2 user@@	Ui2 user@@	dplist/dptexts.txt
	Ui3 user@@	Ui3 user@@	dplist/dptexts.txt
	Ui4 user@@	Ui4 user@@	dplist/dptexts.txt
	Ui5 user@@	Ui5 user@@	dplist/dptexts.txt
	Ui6 user@@	Ui6 user@@	dplist/dptexts.txt
	Ui8 user@@	Ui8 user@@	dplist/dptexts.txt
	Ui9 user@@	Ui9 user@@	dplist/dptexts.txt
	Ui@@	Ui@@	dplist/dptexts.txt
	Ui_2@@	Ui_2@@	dplist/dptexts.txt
	Unable to create SmartSCADA datastructure. Wizard not available.	无法创建 SmartSCADA 数据结构。向导不可用。	msg/ssc_errors.cat
	Unable to create the labelset.	无法创建标签集。	msg/ssc_errors.cat
	Unable to delete the selected labelset.	无法删除选定的标签集。	msg/ssc_errors.cat
	Unable to transfer session	无法转移进程	msg/ssc_errors.cat
	Unit	单元	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
msg/ssc_wizards.cat"
	Update	更新 	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Update KPI	更新 KPI	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Update Time	更新时间	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Update existing KPI parameter	更新现有 KPI 参数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Update failed	更新失败	msg/ssc_wizards.cat
	Use the online value for the calculation	使用在线值进行计算	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Utility libraries	实用程序库	msg/ssc_errors.cat
	Value	数值	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
msg/ssc_wizards.cat"
	Value to 1	Value to 1	dplist/dptexts.txt
	Values	Values	dplist/dptexts.txt
	Values@%s@	Values@%s@	dplist/dptexts.txt
	Visualize lag	滞后可视化	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Warning	告警	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Warning H1 _mp_DRIVE1	Warning H1 _mp_DRIVE1	dplist/dptexts.txt
	Warning H1 _mp_DRIVE2	Warning H1 _mp_DRIVE2	dplist/dptexts.txt
	Warning H1 _mp_PUMP1	Warning H1 _mp_PUMP1	dplist/dptexts.txt
	Warning H1 _mp_PUMP2	Warning H1 _mp_PUMP2	dplist/dptexts.txt
	Warning H1 _mp_SETPOINT	Warning H1 _mp_SETPOINT	dplist/dptexts.txt
	Warning H1 _mp_SLIDE_VALVE1	Warning H1 _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Warning H1 _mp_SLIDE_VALVE2	Warning H1 _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Warning L1 _mp_DRIVE1	Warning L1 _mp_DRIVE1	dplist/dptexts.txt
	Warning L1 _mp_DRIVE2	Warning L1 _mp_DRIVE2	dplist/dptexts.txt
	Warning L1 _mp_PUMP1	Warning L1 _mp_PUMP1	dplist/dptexts.txt
	Warning L1 _mp_PUMP2	Warning L1 _mp_PUMP2	dplist/dptexts.txt
	Warning L1 _mp_SETPOINT	Warning L1 _mp_SETPOINT	dplist/dptexts.txt
	Warning L1 _mp_SLIDE_VALVE1	Warning L1 _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Warning L1 _mp_SLIDE_VALVE2	Warning L1 _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Wincc Dp Error	WinCC Dp 错误	msg/fwWebViewPlus.cat
	Wrong number of parameters.	参数数量错误。	msg/ssc_errors.cat
	_mp_ANALOG1 Comment @%5.2f@	_mp_ANALOG1 Comment @%5.2f@	dplist/dptexts.txt
	_mp_ANALOG2 Comment @%5.2f@	_mp_ANALOG2 Comment @%5.2f@	dplist/dptexts.txt
	abs	abs	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	active KPI instances 	活动 KPI 实例	msg/ssc_wizards.cat
	alliving database OK	alliving database OK	dplist/dptexts.txt
	alliving database has errors	alliving database has errors	dplist/dptexts.txt
	aloverflow database OK	aloverflow database OK	dplist/dptexts.txt
	aloverflow database has errors	aloverflow database has errors	dplist/dptexts.txt
	arial,-1,13,5,50,0,0,0,0,0	arial,-1,13,5,50,0,0,0,0,0	panels/SmartSCADA/Wizard/Classification/helper/labelEditor.pnl
	avgValInt	avgValInt	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	backup is running	backup is running	dplist/dptexts.txt
	btn_calc_cluster	btn_calc_cluster	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	cmLicenseError	cmLicenseError	dplist/dptexts.txt
	evalScript() error for KPI instance: 	KPI 实例的 evalScript() 错误：	msg/ssc_errors.cat
	exp	exp	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	fault	fault	dplist/dptexts.txt
	functions...	函数...	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	greater than	大于	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	less than	小于	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	ln	ln	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	log10	log10	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	no backup is running	no backup is running	dplist/dptexts.txt
	none	没有任何	msg/ssc_wizards.cat
	s	s	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	sum	sum	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	x^y	x^y	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	√	√	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	►	►	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
